Date,Region,Product Category,Product,Sales
2025-11-08,South,Milkshake,Milkshake C,1356
2025-11-08,North,Milkshake,Milkshake B,1336
2025-11-08,South,Plant-Based Drink,Plant-Based Drink B,937
2025-11-08,South,Milkshake,Milkshake D,944
2025-11-08,North,Plant-Based Drink,Plant-Based Drink B,1214
2025-11-08,East,Functional Beverage,Functional Beverage B,1021
2025-11-08,East,Carbonated Drink,Carbonated Drink C,1317
2025-11-08,North,Plant-Based Drink,Plant-Based Drink A,1004
2025-11-08,North,Fruit Juice,Fruit Juice B,1312
2025-11-08,North,Milkshake,Milkshake C,1375
2025-11-08,South,Functional Beverage,Functional Beverage D,1099
2025-11-08,North,Milkshake,Milkshake A,957
2025-11-08,South,Milkshake,Milkshake D,1184
2025-11-08,East,Carbonated Drink,Carbonated Drink D,1099
2025-11-08,North,Milkshake,Milkshake A,1177
2025-11-08,South,Diet Drink,Diet Drink D,1031
2025-11-08,South,Plant-Based Drink,Plant-Based Drink C,1496
2025-11-08,East,Fruit Juice,Fruit Juice D,2811
2025-11-08,South,Milkshake,Milkshake C,1208
2025-11-08,South,Functional Beverage,Functional Beverage B,2643
2025-11-08,South,Plant-Based Drink,Plant-Based Drink D,1303
2025-11-08,North,Plant-Based Drink,Plant-Based Drink B,1329
2025-11-08,East,Functional Beverage,Functional Beverage C,1282
2025-11-08,North,Fruit Juice,Fruit Juice B,992
2025-11-08,East,Carbonated Drink,Carbonated Drink C,1264
2025-11-08,East,Plant-Based Drink,Plant-Based Drink D,1068
2025-11-08,East,Functional Beverage,Functional Beverage B,1371
2025-11-08,North,Carbonated Drink,Carbonated Drink B,925
2025-11-08,North,Fruit Juice,Fruit Juice C,1405
2025-11-08,East,Diet Drink,Diet Drink D,1253
2025-11-08,North,Diet Drink,Diet Drink C,916
2025-11-08,East,Fruit Juice,Fruit Juice A,1404
2025-11-08,South,Fruit Juice,Fruit Juice A,466
2025-11-08,South,Plant-Based Drink,Plant-Based Drink D,1178
2025-11-08,North,Milkshake,Milkshake A,1274
2025-11-08,South,Fruit Juice,Fruit Juice C,1476
2025-11-08,North,Milkshake,Milkshake C,1063
2025-11-08,North,Milkshake,Milkshake C,1378
2025-11-08,South,Diet Drink,Diet Drink A,1075
2025-11-08,South,Fruit Juice,Fruit Juice A,1348
2025-11-08,East,Milkshake,Milkshake B,1001
2025-11-08,South,Plant-Based Drink,Plant-Based Drink C,2557
2025-11-08,North,Functional Beverage,Functional Beverage D,1085
2025-11-08,East,Functional Beverage,Functional Beverage A,1231
2025-11-08,North,Carbonated Drink,Carbonated Drink C,1293
2025-11-08,East,Plant-Based Drink,Plant-Based Drink C,1256
2025-11-08,North,Plant-Based Drink,Plant-Based Drink D,922
2025-11-08,East,Fruit Juice,Fruit Juice C,1300
2025-11-08,South,Milkshake,Milkshake D,1108
2025-11-08,North,Carbonated Drink,Carbonated Drink D,927
