Date,Region,Product Category,Product,Sales
2025-10-14,East,Plant-Based Drink,Plant-Based Drink C,1492
2025-10-14,North,Fruit Juice,Fruit Juice C,1304
2025-10-14,East,Fruit Juice,Fruit Juice B,1185
2025-10-14,East,Functional Beverage,Functional Beverage C,1101
2025-10-14,South,Milkshake,Milkshake B,1405
2025-10-14,South,Diet Drink,Diet Drink B,1290
2025-10-14,North,Diet Drink,Diet Drink C,1193
2025-10-14,East,Fruit Juice,Fruit Juice A,437
2025-10-14,North,Fruit Juice,Fruit Juice A,1164
2025-10-14,North,Milkshake,Milkshake B,2842
2025-10-14,East,Carbonated Drink,Carbonated Drink B,1290
2025-10-14,North,Fruit Juice,Fruit Juice B,1048
2025-10-14,East,Carbonated Drink,Carbonated Drink D,1386
2025-10-14,South,Milkshake,Milkshake A,2816
2025-10-14,South,Carbonated Drink,Carbonated Drink D,1152
2025-10-14,East,Plant-Based Drink,Plant-Based Drink D,2989
2025-10-14,East,Plant-Based Drink,Plant-Based Drink D,1070
2025-10-14,North,Milkshake,Milkshake B,1457
2025-10-14,South,Fruit Juice,Fruit Juice B,1166
2025-10-14,North,Fruit Juice,Fruit Juice D,1101
2025-10-14,East,Fruit Juice,Fruit Juice A,1171
2025-10-14,North,Functional Beverage,Functional Beverage A,1187
2025-10-14,East,Carbonated Drink,Carbonated Drink A,978
2025-10-14,South,Diet Drink,Diet Drink D,1059
2025-10-14,East,Fruit Juice,Fruit Juice C,1154
2025-10-14,South,Milkshake,Milkshake D,1482
2025-10-14,South,Milkshake,Milkshake C,1415
2025-10-14,East,Functional Beverage,Functional Beverage B,1413
2025-10-14,East,Milkshake,Milkshake D,1485
2025-10-14,South,Functional Beverage,Functional Beverage A,918
2025-10-14,North,Functional Beverage,Functional Beverage C,1308
2025-10-14,North,Plant-Based Drink,Plant-Based Drink B,1058
2025-10-14,North,Carbonated Drink,Carbonated Drink B,1330
2025-10-14,North,Carbonated Drink,Carbonated Drink A,1411
2025-10-14,East,Functional Beverage,Functional Beverage A,1440
2025-10-14,South,Fruit Juice,Fruit Juice C,1196
2025-10-14,South,Functional Beverage,Functional Beverage C,1348
2025-10-14,East,Plant-Based Drink,Plant-Based Drink D,1462
2025-10-14,East,Plant-Based Drink,Plant-Based Drink B,1328
2025-10-14,North,Carbonated Drink,Carbonated Drink C,997
2025-10-14,South,Milkshake,Milkshake D,1006
2025-10-14,North,Fruit Juice,Fruit Juice A,1456
2025-10-14,East,Fruit Juice,Fruit Juice D,964
2025-10-14,North,Functional Beverage,Functional Beverage D,919
2025-10-14,East,Functional Beverage,Functional Beverage D,1127
2025-10-14,South,Carbonated Drink,Carbonated Drink B,1096
2025-10-14,North,Fruit Juice,Fruit Juice A,1021
2025-10-14,North,Diet Drink,Diet Drink B,1457
2025-10-14,South,Milkshake,Milkshake D,1088
2025-10-14,East,Plant-Based Drink,Plant-Based Drink C,1406
