Date,Region,Product Category,Product,Sales
2025-10-04,North,Fruit Juice,Fruit Juice A,1467
2025-10-04,North,Milkshake,Milkshake C,1319
2025-10-04,North,Diet Drink,Diet Drink A,989
2025-10-04,South,Carbonated Drink,Carbonated Drink D,1184
2025-10-04,South,Fruit Juice,Fruit Juice D,1066
2025-10-04,North,Carbonated Drink,Carbonated Drink D,1266
2025-10-04,South,Carbonated Drink,Carbonated Drink A,1145
2025-10-04,South,Milkshake,Milkshake C,363
2025-10-04,North,Carbonated Drink,Carbonated Drink A,1035
2025-10-04,North,Milkshake,Milkshake C,1321
2025-10-04,North,Milkshake,Milkshake C,1089
2025-10-04,North,Milkshake,Milkshake A,1158
2025-10-04,North,Carbonated Drink,Carbonated Drink D,1207
2025-10-04,North,Diet Drink,Diet Drink A,1452
2025-10-04,South,Milkshake,Milkshake B,1379
2025-10-04,North,Diet Drink,Diet Drink B,1196
2025-10-04,East,Fruit Juice,Fruit Juice D,1405
2025-10-04,East,Functional Beverage,Functional Beverage C,1100
2025-10-04,South,Functional Beverage,Functional Beverage A,2718
2025-10-04,South,Diet Drink,Diet Drink B,1123
2025-10-04,East,Milkshake,Milkshake C,971
2025-10-04,North,Diet Drink,Diet Drink A,1497
2025-10-04,North,Functional Beverage,Functional Beverage D,1312
2025-10-04,South,Carbonated Drink,Carbonated Drink D,428
2025-10-04,South,Milkshake,Milkshake B,998
2025-10-04,North,Diet Drink,Diet Drink D,1493
2025-10-04,East,Diet Drink,Diet Drink D,1494
2025-10-04,North,Carbonated Drink,Carbonated Drink D,1135
2025-10-04,South,Plant-Based Drink,Plant-Based Drink A,1160
2025-10-04,South,Fruit Juice,Fruit Juice B,1008
2025-10-04,South,Fruit Juice,Fruit Juice C,1039
2025-10-04,East,Carbonated Drink,Carbonated Drink D,1251
2025-10-04,East,Fruit Juice,Fruit Juice B,1046
2025-10-04,South,Milkshake,Milkshake C,1289
2025-10-04,South,Plant-Based Drink,Plant-Based Drink C,934
2025-10-04,South,Milkshake,Milkshake D,1103
2025-10-04,East,Carbonated Drink,Carbonated Drink C,1361
2025-10-04,North,Milkshake,Milkshake B,1445
2025-10-04,East,Diet Drink,Diet Drink B,1104
2025-10-04,South,Milkshake,Milkshake C,962
2025-10-04,South,Diet Drink,Diet Drink C,1278
2025-10-04,East,Carbonated Drink,Carbonated Drink B,2803
2025-10-04,South,Carbonated Drink,Carbonated Drink B,1084
2025-10-04,North,Fruit Juice,Fruit Juice B,1066
2025-10-04,North,Milkshake,Milkshake C,1489
2025-10-04,South,Carbonated Drink,Carbonated Drink D,1356
2025-10-04,North,Plant-Based Drink,Plant-Based Drink B,1477
2025-10-04,North,Diet Drink,Diet Drink A,968
2025-10-04,South,Carbonated Drink,Carbonated Drink C,1231
2025-10-04,North,Diet Drink,Diet Drink A,1490
