Date,Region,Product Category,Product,Sales
2025-11-07,South,Diet Drink,Diet Drink A,1166
2025-11-07,East,Carbonated Drink,Carbonated Drink B,1073
2025-11-07,South,Diet Drink,Diet Drink D,1379
2025-11-07,South,Plant-Based Drink,Plant-Based Drink C,2645
2025-11-07,East,Fruit Juice,Fruit Juice A,1025
2025-11-07,South,Functional Beverage,Functional Beverage C,1435
2025-11-07,South,Plant-Based Drink,Plant-Based Drink D,1269
2025-11-07,South,Carbonated Drink,Carbonated Drink C,1229
2025-11-07,North,Diet Drink,Diet Drink C,998
2025-11-07,East,Plant-Based Drink,Plant-Based Drink B,1122
2025-11-07,North,Carbonated Drink,Carbonated Drink D,1003
2025-11-07,South,Carbonated Drink,Carbonated Drink D,909
2025-11-07,North,Functional Beverage,Functional Beverage D,1361
2025-11-07,East,Milkshake,Milkshake A,963
2025-11-07,North,Diet Drink,Diet Drink A,1349
2025-11-07,East,Fruit Juice,Fruit Juice C,1440
2025-11-07,North,Fruit Juice,Fruit Juice B,1394
2025-11-07,South,Fruit Juice,Fruit Juice D,1355
2025-11-07,East,Carbonated Drink,Carbonated Drink D,1442
2025-11-07,South,Fruit Juice,Fruit Juice C,1269
2025-11-07,South,Milkshake,Milkshake B,1489
2025-11-07,North,Fruit Juice,Fruit Juice B,1018
2025-11-07,East,Diet Drink,Diet Drink A,959
2025-11-07,South,Plant-Based Drink,Plant-Based Drink B,938
2025-11-07,South,Diet Drink,Diet Drink D,1380
2025-11-07,South,Milkshake,Milkshake D,1093
2025-11-07,East,Functional Beverage,Functional Beverage A,1065
2025-11-07,East,Plant-Based Drink,Plant-Based Drink D,1437
2025-11-07,North,Diet Drink,Diet Drink D,1267
2025-11-07,East,Diet Drink,Diet Drink A,1128
2025-11-07,East,Milkshake,Milkshake D,1372
2025-11-07,North,Plant-Based Drink,Plant-Based Drink C,940
2025-11-07,South,Diet Drink,Diet Drink B,1481
2025-11-07,East,Fruit Juice,Fruit Juice D,1129
2025-11-07,East,Plant-Based Drink,Plant-Based Drink A,951
2025-11-07,East,Fruit Juice,Fruit Juice C,1195
2025-11-07,East,Fruit Juice,Fruit Juice C,948
2025-11-07,North,Plant-Based Drink,Plant-Based Drink B,1459
2025-11-07,South,Carbonated Drink,Carbonated Drink D,1115
2025-11-07,North,Carbonated Drink,Carbonated Drink D,1347
2025-11-07,East,Diet Drink,Diet Drink D,1045
2025-11-07,East,Functional Beverage,Functional Beverage B,922
2025-11-07,South,Milkshake,Milkshake B,1334
2025-11-07,North,Diet Drink,Diet Drink D,1496
2025-11-07,East,Diet Drink,Diet Drink C,1046
2025-11-07,South,Diet Drink,Diet Drink D,1388
2025-11-07,South,Carbonated Drink,Carbonated Drink D,1391
2025-11-07,North,Fruit Juice,Fruit Juice A,968
2025-11-07,East,Milkshake,Milkshake C,1211
2025-11-07,North,Milkshake,Milkshake C,1137
