Date,Region,Product Category,Product,Sales
2025-10-19,East,Plant-Based Drink,Plant-Based Drink C,1402
2025-10-19,North,Diet Drink,Diet Drink B,1378
2025-10-19,North,Plant-Based Drink,Plant-Based Drink C,1304
2025-10-19,North,Milkshake,Milkshake D,1451
2025-10-19,North,Functional Beverage,Functional Beverage A,943
2025-10-19,North,Carbonated Drink,Carbonated Drink A,1305
2025-10-19,South,Diet Drink,Diet Drink B,997
2025-10-19,East,Diet Drink,Diet Drink A,929
2025-10-19,North,Carbonated Drink,Carbonated Drink C,1289
2025-10-19,East,Functional Beverage,Functional Beverage C,981
2025-10-19,South,Fruit Juice,Fruit Juice A,1282
2025-10-19,East,Functional Beverage,Functional Beverage D,1315
2025-10-19,South,Milkshake,Milkshake C,1460
2025-10-19,North,Diet Drink,Diet Drink C,945
2025-10-19,East,Diet Drink,Diet Drink D,1407
2025-10-19,North,Milkshake,Milkshake D,1111
2025-10-19,South,Plant-Based Drink,Plant-Based Drink B,1498
2025-10-19,North,Fruit Juice,Fruit Juice B,1257
2025-10-19,East,Functional Beverage,Functional Beverage C,1097
2025-10-19,South,Functional Beverage,Functional Beverage D,2600
2025-10-19,East,Plant-Based Drink,Plant-Based Drink B,2738
2025-10-19,North,Functional Beverage,Functional Beverage D,1258
2025-10-19,East,Diet Drink,Diet Drink D,1072
2025-10-19,North,Fruit Juice,Fruit Juice D,1473
2025-10-19,South,Plant-Based Drink,Plant-Based Drink A,1179
2025-10-19,South,Plant-Based Drink,Plant-Based Drink C,1341
2025-10-19,South,Carbonated Drink,Carbonated Drink C,1177
2025-10-19,South,Plant-Based Drink,Plant-Based Drink B,1285
2025-10-19,North,Functional Beverage,Functional Beverage C,2595
2025-10-19,North,Carbonated Drink,Carbonated Drink C,1162
2025-10-19,South,Functional Beverage,Functional Beverage B,1252
2025-10-19,North,Fruit Juice,Fruit Juice A,1360
2025-10-19,North,Carbonated Drink,Carbonated Drink B,1158
2025-10-19,North,Functional Beverage,Functional Beverage C,1354
2025-10-19,North,Milkshake,Milkshake D,1159
2025-10-19,East,Carbonated Drink,Carbonated Drink D,1148
2025-10-19,East,Functional Beverage,Functional Beverage C,962
2025-10-19,South,Fruit Juice,Fruit Juice D,1146
2025-10-19,East,Diet Drink,Diet Drink A,921
2025-10-19,South,Carbonated Drink,Carbonated Drink A,912
2025-10-19,South,Fruit Juice,Fruit Juice D,1030
2025-10-19,East,Carbonated Drink,Carbonated Drink B,405
2025-10-19,East,Fruit Juice,Fruit Juice B,1229
2025-10-19,North,Milkshake,Milkshake B,2746
2025-10-19,North,Fruit Juice,Fruit Juice C,976
2025-10-19,South,Diet Drink,Diet Drink C,1270
2025-10-19,North,Diet Drink,Diet Drink C,953
2025-10-19,North,Functional Beverage,Functional Beverage D,1273
2025-10-19,East,Carbonated Drink,Carbonated Drink B,1458
2025-10-19,North,Diet Drink,Diet Drink B,1127
