Date,Region,Product Category,Product,Sales
2025-10-02,East,Fruit Juice,Fruit Juice C,1303
2025-10-02,East,Milkshake,Milkshake C,1336
2025-10-02,East,Fruit Juice,Fruit Juice C,1449
2025-10-02,East,Fruit Juice,Fruit Juice A,1232
2025-10-02,East,Plant-Based Drink,Plant-Based Drink B,1384
2025-10-02,East,Diet Drink,Diet Drink C,1074
2025-10-02,South,Functional Beverage,Functional Beverage D,1461
2025-10-02,North,Fruit Juice,Fruit Juice B,1161
2025-10-02,East,Diet Drink,Diet Drink A,1349
2025-10-02,East,Diet Drink,Diet Drink A,1211
2025-10-02,East,Plant-Based Drink,Plant-Based Drink B,1296
2025-10-02,South,Fruit Juice,Fruit Juice C,1348
2025-10-02,East,Diet Drink,Diet Drink D,1044
2025-10-02,East,Plant-Based Drink,Plant-Based Drink D,991
2025-10-02,North,Milkshake,Milkshake C,1424
2025-10-02,East,Functional Beverage,Functional Beverage D,1366
2025-10-02,North,Milkshake,Milkshake B,328
2025-10-02,East,Fruit Juice,Fruit Juice A,1306
2025-10-02,East,Milkshake,Milkshake D,1316
2025-10-02,North,Functional Beverage,Functional Beverage D,1382
2025-10-02,East,Plant-Based Drink,Plant-Based Drink D,978
2025-10-02,North,Diet Drink,Diet Drink A,1138
2025-10-02,East,Carbonated Drink,Carbonated Drink C,1297
2025-10-02,North,Functional Beverage,Functional Beverage D,2798
2025-10-02,East,Milkshake,Milkshake D,963
2025-10-02,South,Carbonated Drink,Carbonated Drink A,1479
2025-10-02,East,Diet Drink,Diet Drink C,1382
2025-10-02,North,Plant-Based Drink,Plant-Based Drink D,910
2025-10-02,East,Plant-Based Drink,Plant-Based Drink B,1378
2025-10-02,North,Milkshake,Milkshake D,1263
2025-10-02,South,Milkshake,Milkshake B,1147
2025-10-02,South,Carbonated Drink,Carbonated Drink A,1291
2025-10-02,East,Carbonated Drink,Carbonated Drink C,1048
2025-10-02,South,Plant-Based Drink,Plant-Based Drink D,1389
2025-10-02,South,Fruit Juice,Fruit Juice B,1256
2025-10-02,East,Plant-Based Drink,Plant-Based Drink B,1086
2025-10-02,South,Diet Drink,Diet Drink C,999
2025-10-02,North,Fruit Juice,Fruit Juice B,323
2025-10-02,East,Functional Beverage,Functional Beverage D,932
2025-10-02,North,Plant-Based Drink,Plant-Based Drink D,1136
2025-10-02,South,Milkshake,Milkshake C,1425
2025-10-02,North,Fruit Juice,Fruit Juice B,1008
2025-10-02,East,Functional Beverage,Functional Beverage C,1242
2025-10-02,East,Fruit Juice,Fruit Juice A,1124
2025-10-02,South,Fruit Juice,Fruit Juice A,1400
2025-10-02,North,Diet Drink,Diet Drink C,959
2025-10-02,South,Diet Drink,Diet Drink A,1487
2025-10-02,North,Plant-Based Drink,Plant-Based Drink C,1285
2025-10-02,South,Fruit Juice,Fruit Juice D,1221
2025-10-02,South,Diet Drink,Diet Drink D,1177
