Date,Region,Product Category,Product,Sales
2025-10-01,East,Plant-Based Drink,Plant-Based Drink C,1163
2025-10-01,East,Plant-Based Drink,Plant-Based Drink A,956
2025-10-01,South,Plant-Based Drink,Plant-Based Drink C,1371
2025-10-01,South,Carbonated Drink,Carbonated Drink C,1122
2025-10-01,South,Milkshake,Milkshake B,1393
2025-10-01,North,Functional Beverage,Functional Beverage A,1232
2025-10-01,South,Plant-Based Drink,Plant-Based Drink B,1278
2025-10-01,South,Carbonated Drink,Carbonated Drink A,1482
2025-10-01,South,Plant-Based Drink,Plant-Based Drink D,1016
2025-10-01,North,Fruit Juice,Fruit Juice C,992
2025-10-01,South,Plant-Based Drink,Plant-Based Drink B,1480
2025-10-01,South,Carbonated Drink,Carbonated Drink A,1181
2025-10-01,North,Fruit Juice,Fruit Juice C,1185
2025-10-01,North,Plant-Based Drink,Plant-Based Drink D,1162
2025-10-01,North,Plant-Based Drink,Plant-Based Drink A,1087
2025-10-01,North,Plant-Based Drink,Plant-Based Drink D,1132
2025-10-01,East,Plant-Based Drink,Plant-Based Drink C,983
2025-10-01,South,Fruit Juice,Fruit Juice D,1372
2025-10-01,North,Plant-Based Drink,Plant-Based Drink B,1368
2025-10-01,North,Milkshake,Milkshake A,983
2025-10-01,North,Plant-Based Drink,Plant-Based Drink C,1182
2025-10-01,East,Plant-Based Drink,Plant-Based Drink C,1280
2025-10-01,East,Milkshake,Milkshake D,360
2025-10-01,South,Functional Beverage,Functional Beverage B,1145
2025-10-01,East,Functional Beverage,Functional Beverage D,934
2025-10-01,South,Functional Beverage,Functional Beverage B,1297
2025-10-01,North,Plant-Based Drink,Plant-Based Drink D,1298
2025-10-01,North,Plant-Based Drink,Plant-Based Drink B,333
2025-10-01,South,Plant-Based Drink,Plant-Based Drink C,1177
2025-10-01,South,Milkshake,Milkshake D,991
2025-10-01,North,Carbonated Drink,Carbonated Drink A,1128
2025-10-01,South,Milkshake,Milkshake C,1117
2025-10-01,North,Fruit Juice,Fruit Juice B,1477
2025-10-01,North,Plant-Based Drink,Plant-Based Drink B,1059
2025-10-01,East,Plant-Based Drink,Plant-Based Drink B,1330
2025-10-01,South,Functional Beverage,Functional Beverage A,957
2025-10-01,East,Carbonated Drink,Carbonated Drink C,1021
2025-10-01,South,Milkshake,Milkshake C,1006
2025-10-01,East,Plant-Based Drink,Plant-Based Drink B,1331
2025-10-01,East,Milkshake,Milkshake A,1250
2025-10-01,North,Fruit Juice,Fruit Juice D,383
2025-10-01,East,Functional Beverage,Functional Beverage C,986
2025-10-01,East,Milkshake,Milkshake D,1002
2025-10-01,South,Milkshake,Milkshake B,1108
2025-10-01,East,Fruit Juice,Fruit Juice A,1475
2025-10-01,North,Plant-Based Drink,Plant-Based Drink A,949
2025-10-01,South,Carbonated Drink,Carbonated Drink B,1462
2025-10-01,North,Carbonated Drink,Carbonated Drink D,1060
2025-10-01,North,Milkshake,Milkshake D,2681
2025-10-01,East,Diet Drink,Diet Drink C,984
