Date,Region,Product Category,Product,Sales
2025-11-04,East,Diet Drink,Diet Drink A,1484
2025-11-04,East,Carbonated Drink,Carbonated Drink C,1351
2025-11-04,South,Functional Beverage,Functional Beverage C,1003
2025-11-04,East,Carbonated Drink,Carbonated Drink B,334
2025-11-04,North,Diet Drink,Diet Drink A,943
2025-11-04,South,Carbonated Drink,Carbonated Drink D,1047
2025-11-04,South,Diet Drink,Diet Drink B,1142
2025-11-04,East,Carbonated Drink,Carbonated Drink C,922
2025-11-04,East,Fruit Juice,Fruit Juice B,961
2025-11-04,South,Fruit Juice,Fruit Juice B,961
2025-11-04,South,Carbonated Drink,Carbonated Drink D,327
2025-11-04,East,Functional Beverage,Functional Beverage D,1380
2025-11-04,East,Carbonated Drink,Carbonated Drink B,1143
2025-11-04,North,Milkshake,Milkshake C,1010
2025-11-04,South,Carbonated Drink,Carbonated Drink C,1238
2025-11-04,South,Functional Beverage,Functional Beverage A,1083
2025-11-04,South,Carbonated Drink,Carbonated Drink D,1291
2025-11-04,North,Functional Beverage,Functional Beverage C,961
2025-11-04,East,Carbonated Drink,Carbonated Drink C,937
2025-11-04,East,Plant-Based Drink,Plant-Based Drink B,1351
2025-11-04,South,Milkshake,Milkshake B,1153
2025-11-04,North,Functional Beverage,Functional Beverage D,1290
2025-11-04,North,Fruit Juice,Fruit Juice D,1431
2025-11-04,East,Fruit Juice,Fruit Juice C,1096
2025-11-04,East,Diet Drink,Diet Drink A,1194
2025-11-04,North,Diet Drink,Diet Drink C,1395
2025-11-04,North,Carbonated Drink,Carbonated Drink D,1353
2025-11-04,South,Plant-Based Drink,Plant-Based Drink C,1006
2025-11-04,South,Diet Drink,Diet Drink B,1081
2025-11-04,East,Carbonated Drink,Carbonated Drink D,1019
2025-11-04,East,Plant-Based Drink,Plant-Based Drink C,1232
2025-11-04,North,Milkshake,Milkshake C,1099
2025-11-04,North,Diet Drink,Diet Drink B,1300
2025-11-04,South,Milkshake,Milkshake B,1494
2025-11-04,East,Functional Beverage,Functional Beverage D,955
2025-11-04,East,Milkshake,Milkshake D,1335
2025-11-04,East,Fruit Juice,Fruit Juice B,1279
2025-11-04,North,Functional Beverage,Functional Beverage D,1010
2025-11-04,North,Carbonated Drink,Carbonated Drink D,1050
2025-11-04,East,Milkshake,Milkshake C,1107
2025-11-04,North,Fruit Juice,Fruit Juice A,1450
2025-11-04,South,Functional Beverage,Functional Beverage B,951
2025-11-04,South,Diet Drink,Diet Drink B,924
2025-11-04,North,Fruit Juice,Fruit Juice D,1261
2025-11-04,South,Carbonated Drink,Carbonated Drink A,1106
2025-11-04,East,Plant-Based Drink,Plant-Based Drink B,1048
2025-11-04,North,Carbonated Drink,Carbonated Drink B,1365
2025-11-04,South,Milkshake,Milkshake B,1397
2025-11-04,South,Carbonated Drink,Carbonated Drink C,925
2025-11-04,South,Milkshake,Milkshake D,1078
