Date,Region,Product Category,Product,Sales
2025-10-31,South,Plant-Based Drink,Plant-Based Drink C,1361
2025-10-31,North,Diet Drink,Diet Drink A,1286
2025-10-31,South,Functional Beverage,Functional Beverage D,1198
2025-10-31,East,Functional Beverage,Functional Beverage B,1026
2025-10-31,South,Carbonated Drink,Carbonated Drink A,1009
2025-10-31,East,Carbonated Drink,Carbonated Drink B,1273
2025-10-31,North,Diet Drink,Diet Drink B,1291
2025-10-31,South,Functional Beverage,Functional Beverage D,1414
2025-10-31,South,Fruit Juice,Fruit Juice A,1483
2025-10-31,North,Functional Beverage,Functional Beverage A,1305
2025-10-31,South,Functional Beverage,Functional Beverage C,1072
2025-10-31,North,Milkshake,Milkshake C,1167
2025-10-31,East,Functional Beverage,Functional Beverage C,1463
2025-10-31,South,Diet Drink,Diet Drink C,965
2025-10-31,East,Diet Drink,Diet Drink D,1098
2025-10-31,East,Functional Beverage,Functional Beverage B,1063
2025-10-31,North,Functional Beverage,Functional Beverage C,1062
2025-10-31,South,Fruit Juice,Fruit Juice D,1104
2025-10-31,East,Functional Beverage,Functional Beverage D,1032
2025-10-31,East,Fruit Juice,Fruit Juice A,394
2025-10-31,North,Diet Drink,Diet Drink C,1451
2025-10-31,South,Functional Beverage,Functional Beverage D,1178
2025-10-31,North,Plant-Based Drink,Plant-Based Drink B,975
2025-10-31,North,Carbonated Drink,Carbonated Drink D,1422
2025-10-31,East,Fruit Juice,Fruit Juice D,1244
2025-10-31,East,Plant-Based Drink,Plant-Based Drink D,1449
2025-10-31,East,Fruit Juice,Fruit Juice B,1247
2025-10-31,North,Plant-Based Drink,Plant-Based Drink D,1104
2025-10-31,South,Functional Beverage,Functional Beverage C,994
2025-10-31,South,Fruit Juice,Fruit Juice D,1068
2025-10-31,South,Fruit Juice,Fruit Juice A,966
2025-10-31,South,Fruit Juice,Fruit Juice D,1424
2025-10-31,South,Fruit Juice,Fruit Juice B,1356
2025-10-31,South,Diet Drink,Diet Drink B,1108
2025-10-31,East,Carbonated Drink,Carbonated Drink B,1413
2025-10-31,East,Carbonated Drink,Carbonated Drink C,1046
2025-10-31,South,Diet Drink,Diet Drink B,1139
2025-10-31,North,Carbonated Drink,Carbonated Drink A,1187
2025-10-31,South,Plant-Based Drink,Plant-Based Drink B,1486
2025-10-31,South,Carbonated Drink,Carbonated Drink D,1124
2025-10-31,South,Functional Beverage,Functional Beverage D,951
2025-10-31,North,Functional Beverage,Functional Beverage A,1107
2025-10-31,North,Functional Beverage,Functional Beverage B,1267
2025-10-31,North,Milkshake,Milkshake A,1016
2025-10-31,North,Milkshake,Milkshake A,1203
2025-10-31,North,Carbonated Drink,Carbonated Drink A,1225
2025-10-31,South,Milkshake,Milkshake D,942
2025-10-31,South,Plant-Based Drink,Plant-Based Drink B,1055
2025-10-31,South,Carbonated Drink,Carbonated Drink A,1089
2025-10-31,East,Carbonated Drink,Carbonated Drink C,1042
