Date,Region,Product Category,Product,Sales
2025-10-24,South,Milkshake,Milkshake D,1003
2025-10-24,South,Plant-Based Drink,Plant-Based Drink C,1212
2025-10-24,South,Fruit Juice,Fruit Juice C,1128
2025-10-24,South,Carbonated Drink,Carbonated Drink C,965
2025-10-24,North,Diet Drink,Diet Drink D,396
2025-10-24,East,Carbonated Drink,Carbonated Drink A,998
2025-10-24,East,Plant-Based Drink,Plant-Based Drink C,1036
2025-10-24,South,Fruit Juice,Fruit Juice A,1082
2025-10-24,South,Milkshake,Milkshake C,1431
2025-10-24,East,Functional Beverage,Functional Beverage C,1182
2025-10-24,South,Diet Drink,Diet Drink A,968
2025-10-24,North,Diet Drink,Diet Drink C,1231
2025-10-24,East,Milkshake,Milkshake B,1075
2025-10-24,South,Carbonated Drink,Carbonated Drink C,1455
2025-10-24,North,Milkshake,Milkshake C,1326
2025-10-24,East,Diet Drink,Diet Drink D,1010
2025-10-24,East,Plant-Based Drink,Plant-Based Drink D,1416
2025-10-24,North,Diet Drink,Diet Drink A,1084
2025-10-24,South,Fruit Juice,Fruit Juice A,1084
2025-10-24,East,Functional Beverage,Functional Beverage C,1132
2025-10-24,North,Functional Beverage,Functional Beverage C,1347
2025-10-24,East,Plant-Based Drink,Plant-Based Drink C,1375
2025-10-24,North,Plant-Based Drink,Plant-Based Drink B,1449
2025-10-24,South,Carbonated Drink,Carbonated Drink A,1190
2025-10-24,North,Functional Beverage,Functional Beverage B,1382
2025-10-24,East,Plant-Based Drink,Plant-Based Drink B,2737
2025-10-24,North,Diet Drink,Diet Drink C,1429
2025-10-24,East,Carbonated Drink,Carbonated Drink C,1072
2025-10-24,East,Milkshake,Milkshake D,1032
2025-10-24,South,Fruit Juice,Fruit Juice C,985
2025-10-24,North,Functional Beverage,Functional Beverage B,1035
2025-10-24,North,Functional Beverage,Functional Beverage C,1269
2025-10-24,South,Milkshake,Milkshake C,1316
2025-10-24,North,Fruit Juice,Fruit Juice D,1092
2025-10-24,North,Milkshake,Milkshake A,1066
2025-10-24,East,Diet Drink,Diet Drink B,1301
2025-10-24,South,Diet Drink,Diet Drink A,1303
2025-10-24,East,Functional Beverage,Functional Beverage A,963
2025-10-24,North,Milkshake,Milkshake D,1149
2025-10-24,East,Fruit Juice,Fruit Juice C,1393
2025-10-24,East,Plant-Based Drink,Plant-Based Drink C,1220
2025-10-24,South,Fruit Juice,Fruit Juice A,1389
2025-10-24,North,Fruit Juice,Fruit Juice C,1353
2025-10-24,East,Carbonated Drink,Carbonated Drink B,1048
2025-10-24,South,Functional Beverage,Functional Beverage D,1026
2025-10-24,North,Functional Beverage,Functional Beverage D,1090
2025-10-24,North,Fruit Juice,Fruit Juice D,1150
2025-10-24,North,Fruit Juice,Fruit Juice A,1027
2025-10-24,North,Diet Drink,Diet Drink A,1307
2025-10-24,East,Carbonated Drink,Carbonated Drink B,1026
