Date,Region,Product Category,Product,Sales
2025-11-01,North,Plant-Based Drink,Plant-Based Drink D,436
2025-11-01,East,Milkshake,Milkshake C,1025
2025-11-01,North,Plant-Based Drink,Plant-Based Drink B,1071
2025-11-01,East,Fruit Juice,Fruit Juice C,1165
2025-11-01,North,Diet Drink,Diet Drink D,966
2025-11-01,East,Milkshake,Milkshake A,1118
2025-11-01,South,Diet Drink,Diet Drink A,1226
2025-11-01,North,Diet Drink,Diet Drink B,939
2025-11-01,East,Milkshake,Milkshake D,1202
2025-11-01,South,Milkshake,Milkshake A,1163
2025-11-01,North,Milkshake,Milkshake A,1241
2025-11-01,North,Plant-Based Drink,Plant-Based Drink A,1286
2025-11-01,North,Fruit Juice,Fruit Juice A,389
2025-11-01,North,Carbonated Drink,Carbonated Drink B,949
2025-11-01,South,Milkshake,Milkshake C,1085
2025-11-01,South,Diet Drink,Diet Drink A,1251
2025-11-01,South,Diet Drink,Diet Drink A,1091
2025-11-01,North,Fruit Juice,Fruit Juice A,1310
2025-11-01,South,Fruit Juice,Fruit Juice D,1064
2025-11-01,North,Functional Beverage,Functional Beverage A,1008
2025-11-01,North,Carbonated Drink,Carbonated Drink C,1405
2025-11-01,North,Carbonated Drink,Carbonated Drink A,341
2025-11-01,North,Plant-Based Drink,Plant-Based Drink D,1337
2025-11-01,South,Milkshake,Milkshake B,1161
2025-11-01,East,Milkshake,Milkshake A,1308
2025-11-01,North,Diet Drink,Diet Drink C,385
2025-11-01,South,Milkshake,Milkshake D,1224
2025-11-01,North,Plant-Based Drink,Plant-Based Drink B,1064
2025-11-01,North,Plant-Based Drink,Plant-Based Drink D,1146
2025-11-01,South,Functional Beverage,Functional Beverage D,1148
2025-11-01,South,Diet Drink,Diet Drink A,1256
2025-11-01,East,Plant-Based Drink,Plant-Based Drink C,1344
2025-11-01,South,Plant-Based Drink,Plant-Based Drink D,314
2025-11-01,South,Fruit Juice,Fruit Juice A,1427
2025-11-01,North,Functional Beverage,Functional Beverage C,1157
2025-11-01,East,Functional Beverage,Functional Beverage C,982
2025-11-01,North,Fruit Juice,Fruit Juice C,1365
2025-11-01,North,Plant-Based Drink,Plant-Based Drink A,1383
2025-11-01,South,Fruit Juice,Fruit Juice A,1469
2025-11-01,South,Milkshake,Milkshake C,913
2025-11-01,South,Milkshake,Milkshake A,1431
2025-11-01,South,Plant-Based Drink,Plant-Based Drink D,1297
2025-11-01,North,Functional Beverage,Functional Beverage B,1042
2025-11-01,South,Milkshake,Milkshake B,1160
2025-11-01,North,Plant-Based Drink,Plant-Based Drink A,1250
2025-11-01,East,Milkshake,Milkshake D,1033
2025-11-01,East,Carbonated Drink,Carbonated Drink D,1118
2025-11-01,South,Milkshake,Milkshake D,1261
2025-11-01,South,Diet Drink,Diet Drink A,1407
2025-11-01,East,Plant-Based Drink,Plant-Based Drink D,1136
