Date,Region,Product Category,Product,Sales
2025-11-02,East,Functional Beverage,Functional Beverage D,1068
2025-11-02,North,Functional Beverage,Functional Beverage C,1315
2025-11-02,East,Functional Beverage,Functional Beverage D,1203
2025-11-02,South,Plant-Based Drink,Plant-Based Drink C,1199
2025-11-02,South,Functional Beverage,Functional Beverage D,1427
2025-11-02,South,Milkshake,Milkshake B,1427
2025-11-02,East,Plant-Based Drink,Plant-Based Drink B,1030
2025-11-02,East,Carbonated Drink,Carbonated Drink A,1132
2025-11-02,South,Functional Beverage,Functional Beverage A,1388
2025-11-02,East,Plant-Based Drink,Plant-Based Drink C,1452
2025-11-02,South,Carbonated Drink,Carbonated Drink C,996
2025-11-02,North,Diet Drink,Diet Drink C,1184
2025-11-02,South,Functional Beverage,Functional Beverage C,1190
2025-11-02,North,Functional Beverage,Functional Beverage C,1354
2025-11-02,North,Plant-Based Drink,Plant-Based Drink B,1050
2025-11-02,North,Fruit Juice,Fruit Juice D,1118
2025-11-02,South,Milkshake,Milkshake C,1012
2025-11-02,North,Fruit Juice,Fruit Juice A,1257
2025-11-02,South,Milkshake,Milkshake C,1380
2025-11-02,North,Plant-Based Drink,Plant-Based Drink D,1293
2025-11-02,North,Functional Beverage,Functional Beverage B,1345
2025-11-02,South,Diet Drink,Diet Drink C,1036
2025-11-02,North,Diet Drink,Diet Drink C,1045
2025-11-02,South,Plant-Based Drink,Plant-Based Drink A,995
2025-11-02,East,Carbonated Drink,Carbonated Drink C,1046
2025-11-02,North,Fruit Juice,Fruit Juice A,1122
2025-11-02,North,Fruit Juice,Fruit Juice C,1272
2025-11-02,South,Fruit Juice,Fruit Juice A,1090
2025-11-02,South,Milkshake,Milkshake B,1147
2025-11-02,North,Functional Beverage,Functional Beverage D,1387
2025-11-02,East,Diet Drink,Diet Drink D,1034
2025-11-02,South,Fruit Juice,Fruit Juice A,1084
2025-11-02,North,Milkshake,Milkshake C,1013
2025-11-02,East,Fruit Juice,Fruit Juice B,904
2025-11-02,East,Plant-Based Drink,Plant-Based Drink B,1113
2025-11-02,East,Functional Beverage,Functional Beverage D,1001
2025-11-02,South,Carbonated Drink,Carbonated Drink C,1269
2025-11-02,North,Milkshake,Milkshake B,1360
2025-11-02,South,Fruit Juice,Fruit Juice C,1163
2025-11-02,South,Milkshake,Milkshake D,1321
2025-11-02,East,Functional Beverage,Functional Beverage C,1219
2025-11-02,South,Plant-Based Drink,Plant-Based Drink D,1018
2025-11-02,South,Milkshake,Milkshake D,1192
2025-11-02,South,Carbonated Drink,Carbonated Drink C,1451
2025-11-02,North,Diet Drink,Diet Drink B,1277
2025-11-02,East,Milkshake,Milkshake D,1160
2025-11-02,South,Milkshake,Milkshake C,2925
2025-11-02,East,Fruit Juice,Fruit Juice D,1214
2025-11-02,East,Functional Beverage,Functional Beverage B,1437
2025-11-02,North,Diet Drink,Diet Drink D,1357
