Date,Region,Product Category,Product,Sales
2025-11-06,East,Fruit Juice,Fruit Juice C,1052
2025-11-06,North,Milkshake,Milkshake C,967
2025-11-06,North,Diet Drink,Diet Drink C,1117
2025-11-06,North,Carbonated Drink,Carbonated Drink D,1371
2025-11-06,North,Fruit Juice,Fruit Juice C,1222
2025-11-06,South,Functional Beverage,Functional Beverage B,966
2025-11-06,North,Functional Beverage,Functional Beverage B,1015
2025-11-06,North,Milkshake,Milkshake C,1166
2025-11-06,East,Carbonated Drink,Carbonated Drink B,1304
2025-11-06,South,Diet Drink,Diet Drink D,1083
2025-11-06,East,Diet Drink,Diet Drink D,1386
2025-11-06,North,Diet Drink,Diet Drink D,1211
2025-11-06,North,Diet Drink,Diet Drink B,1351
2025-11-06,East,Milkshake,Milkshake B,2546
2025-11-06,North,Milkshake,Milkshake A,1259
2025-11-06,East,Milkshake,Milkshake C,1074
2025-11-06,South,Milkshake,Milkshake D,1302
2025-11-06,South,Functional Beverage,Functional Beverage D,938
2025-11-06,North,Functional Beverage,Functional Beverage A,1297
2025-11-06,South,Functional Beverage,Functional Beverage C,1099
2025-11-06,East,Fruit Juice,Fruit Juice B,1457
2025-11-06,North,Fruit Juice,Fruit Juice B,1004
2025-11-06,South,Functional Beverage,Functional Beverage C,1297
2025-11-06,South,Functional Beverage,Functional Beverage C,1427
2025-11-06,South,Fruit Juice,Fruit Juice C,1200
2025-11-06,South,Functional Beverage,Functional Beverage A,976
2025-11-06,North,Plant-Based Drink,Plant-Based Drink A,1410
2025-11-06,North,Plant-Based Drink,Plant-Based Drink C,1130
2025-11-06,South,Plant-Based Drink,Plant-Based Drink C,1330
2025-11-06,East,Milkshake,Milkshake A,1076
2025-11-06,South,Milkshake,Milkshake B,1156
2025-11-06,East,Milkshake,Milkshake C,905
2025-11-06,East,Milkshake,Milkshake C,1449
2025-11-06,East,Milkshake,Milkshake C,1184
2025-11-06,North,Fruit Juice,Fruit Juice B,1438
2025-11-06,North,Milkshake,Milkshake B,1233
2025-11-06,North,Milkshake,Milkshake C,1157
2025-11-06,North,Fruit Juice,Fruit Juice B,1326
2025-11-06,South,Milkshake,Milkshake B,1276
2025-11-06,East,Carbonated Drink,Carbonated Drink A,1401
2025-11-06,South,Fruit Juice,Fruit Juice C,1165
2025-11-06,North,Milkshake,Milkshake A,2939
2025-11-06,North,Plant-Based Drink,Plant-Based Drink C,1361
2025-11-06,North,Functional Beverage,Functional Beverage A,1152
2025-11-06,South,Carbonated Drink,Carbonated Drink A,942
2025-11-06,North,Plant-Based Drink,Plant-Based Drink C,1057
2025-11-06,North,Fruit Juice,Fruit Juice A,1237
2025-11-06,East,Plant-Based Drink,Plant-Based Drink C,1370
2025-11-06,East,Milkshake,Milkshake D,1036
2025-11-06,South,Fruit Juice,Fruit Juice D,1160
