Date,Region,Product Category,Product,Sales
2025-10-23,East,Carbonated Drink,Carbonated Drink B,1251
2025-10-23,East,Functional Beverage,Functional Beverage C,1098
2025-10-23,East,Milkshake,Milkshake B,981
2025-10-23,East,Diet Drink,Diet Drink C,921
2025-10-23,East,Fruit Juice,Fruit Juice B,1204
2025-10-23,North,Fruit Juice,Fruit Juice C,1449
2025-10-23,East,Diet Drink,Diet Drink A,1072
2025-10-23,North,Diet Drink,Diet Drink C,1234
2025-10-23,North,Plant-Based Drink,Plant-Based Drink D,1229
2025-10-23,North,Carbonated Drink,Carbonated Drink A,1061
2025-10-23,North,Plant-Based Drink,Plant-Based Drink A,2623
2025-10-23,South,Diet Drink,Diet Drink D,944
2025-10-23,East,Plant-Based Drink,Plant-Based Drink B,1288
2025-10-23,North,Diet Drink,Diet Drink B,1214
2025-10-23,East,Diet Drink,Diet Drink D,1387
2025-10-23,North,Functional Beverage,Functional Beverage D,1203
2025-10-23,South,Milkshake,Milkshake D,980
2025-10-23,North,Fruit Juice,Fruit Juice B,1079
2025-10-23,North,Milkshake,Milkshake A,1372
2025-10-23,East,Diet Drink,Diet Drink B,1416
2025-10-23,East,Milkshake,Milkshake A,1141
2025-10-23,North,Milkshake,Milkshake C,951
2025-10-23,South,Diet Drink,Diet Drink B,1392
2025-10-23,East,Milkshake,Milkshake D,1490
2025-10-23,South,Fruit Juice,Fruit Juice A,1237
2025-10-23,North,Functional Beverage,Functional Beverage B,904
2025-10-23,East,Functional Beverage,Functional Beverage D,337
2025-10-23,East,Diet Drink,Diet Drink A,1102
2025-10-23,South,Plant-Based Drink,Plant-Based Drink B,1096
2025-10-23,East,Plant-Based Drink,Plant-Based Drink D,411
2025-10-23,East,Diet Drink,Diet Drink C,1369
2025-10-23,East,Diet Drink,Diet Drink A,912
2025-10-23,East,Carbonated Drink,Carbonated Drink B,457
2025-10-23,South,Plant-Based Drink,Plant-Based Drink A,1375
2025-10-23,North,Functional Beverage,Functional Beverage B,1086
2025-10-23,South,Carbonated Drink,Carbonated Drink C,1168
2025-10-23,North,Carbonated Drink,Carbonated Drink B,1231
2025-10-23,South,Plant-Based Drink,Plant-Based Drink B,1445
2025-10-23,East,Milkshake,Milkshake B,1165
2025-10-23,East,Diet Drink,Diet Drink D,1237
2025-10-23,East,Plant-Based Drink,Plant-Based Drink A,1305
2025-10-23,South,Functional Beverage,Functional Beverage C,1199
2025-10-23,South,Fruit Juice,Fruit Juice D,1413
2025-10-23,North,Fruit Juice,Fruit Juice C,1389
2025-10-23,South,Plant-Based Drink,Plant-Based Drink B,1135
2025-10-23,South,Carbonated Drink,Carbonated Drink D,2805
2025-10-23,South,Plant-Based Drink,Plant-Based Drink A,1240
2025-10-23,North,Plant-Based Drink,Plant-Based Drink C,1308
2025-10-23,North,Diet Drink,Diet Drink C,1324
2025-10-23,East,Diet Drink,Diet Drink B,1451
