Date,Region,Product Category,Product,Sales
2025-10-08,East,Diet Drink,Diet Drink D,1412
2025-10-08,South,Milkshake,Milkshake C,1193
2025-10-08,South,Carbonated Drink,Carbonated Drink D,1046
2025-10-08,South,Diet Drink,Diet Drink B,1405
2025-10-08,East,Plant-Based Drink,Plant-Based Drink D,1358
2025-10-08,East,Carbonated Drink,Carbonated Drink C,1173
2025-10-08,North,Milkshake,Milkshake C,1073
2025-10-08,North,Milkshake,Milkshake B,1145
2025-10-08,North,Plant-Based Drink,Plant-Based Drink B,1416
2025-10-08,North,Fruit Juice,Fruit Juice A,1101
2025-10-08,East,Diet Drink,Diet Drink A,982
2025-10-08,North,Fruit Juice,Fruit Juice A,1134
2025-10-08,East,Functional Beverage,Functional Beverage D,992
2025-10-08,North,Milkshake,Milkshake D,1459
2025-10-08,North,Fruit Juice,Fruit Juice D,982
2025-10-08,East,Functional Beverage,Functional Beverage B,1430
2025-10-08,North,Fruit Juice,Fruit Juice C,1399
2025-10-08,East,Carbonated Drink,Carbonated Drink C,1231
2025-10-08,East,Plant-Based Drink,Plant-Based Drink D,1291
2025-10-08,East,Diet Drink,Diet Drink A,1209
2025-10-08,South,Plant-Based Drink,Plant-Based Drink A,1485
2025-10-08,East,Carbonated Drink,Carbonated Drink A,1154
2025-10-08,North,Plant-Based Drink,Plant-Based Drink D,1112
2025-10-08,South,Plant-Based Drink,Plant-Based Drink D,1392
2025-10-08,North,Functional Beverage,Functional Beverage A,1349
2025-10-08,East,Carbonated Drink,Carbonated Drink A,1435
2025-10-08,North,Diet Drink,Diet Drink D,957
2025-10-08,East,Milkshake,Milkshake B,940
2025-10-08,East,Fruit Juice,Fruit Juice A,1161
2025-10-08,East,Fruit Juice,Fruit Juice B,1291
2025-10-08,North,Functional Beverage,Functional Beverage A,988
2025-10-08,East,Plant-Based Drink,Plant-Based Drink C,1223
2025-10-08,East,Fruit Juice,Fruit Juice B,1136
2025-10-08,North,Functional Beverage,Functional Beverage B,1351
2025-10-08,North,Plant-Based Drink,Plant-Based Drink C,1178
2025-10-08,North,Functional Beverage,Functional Beverage C,1025
2025-10-08,South,Fruit Juice,Fruit Juice D,951
2025-10-08,East,Functional Beverage,Functional Beverage A,1393
2025-10-08,South,Diet Drink,Diet Drink D,982
2025-10-08,East,Carbonated Drink,Carbonated Drink D,1135
2025-10-08,South,Diet Drink,Diet Drink D,1423
2025-10-08,North,Functional Beverage,Functional Beverage B,1293
2025-10-08,East,Plant-Based Drink,Plant-Based Drink A,1239
2025-10-08,North,Plant-Based Drink,Plant-Based Drink B,442
2025-10-08,South,Milkshake,Milkshake B,1191
2025-10-08,East,Carbonated Drink,Carbonated Drink B,1354
2025-10-08,North,Milkshake,Milkshake A,1131
2025-10-08,East,Milkshake,Milkshake A,1088
2025-10-08,North,Plant-Based Drink,Plant-Based Drink D,313
2025-10-08,North,Diet Drink,Diet Drink D,1287
