Date,Region,Product Category,Product,Sales
2025-10-05,South,Plant-Based Drink,Plant-Based Drink D,1349
2025-10-05,East,Fruit Juice,Fruit Juice B,924
2025-10-05,South,Carbonated Drink,Carbonated Drink D,1491
2025-10-05,East,Diet Drink,Diet Drink A,1146
2025-10-05,North,Fruit Juice,Fruit Juice A,1233
2025-10-05,East,Diet Drink,Diet Drink B,464
2025-10-05,South,Fruit Juice,Fruit Juice B,965
2025-10-05,South,Plant-Based Drink,Plant-Based Drink C,1364
2025-10-05,South,Plant-Based Drink,Plant-Based Drink B,460
2025-10-05,East,Milkshake,Milkshake A,2975
2025-10-05,East,Plant-Based Drink,Plant-Based Drink C,917
2025-10-05,South,Diet Drink,Diet Drink C,1302
2025-10-05,North,Diet Drink,Diet Drink C,1108
2025-10-05,South,Functional Beverage,Functional Beverage C,1254
2025-10-05,East,Functional Beverage,Functional Beverage C,1431
2025-10-05,South,Fruit Juice,Fruit Juice C,1105
2025-10-05,North,Plant-Based Drink,Plant-Based Drink C,1499
2025-10-05,South,Carbonated Drink,Carbonated Drink C,982
2025-10-05,East,Diet Drink,Diet Drink D,1320
2025-10-05,East,Carbonated Drink,Carbonated Drink B,1449
2025-10-05,North,Fruit Juice,Fruit Juice A,1119
2025-10-05,North,Functional Beverage,Functional Beverage C,910
2025-10-05,South,Milkshake,Milkshake D,1105
2025-10-05,South,Diet Drink,Diet Drink D,1351
2025-10-05,South,Functional Beverage,Functional Beverage B,1438
2025-10-05,North,Functional Beverage,Functional Beverage D,1445
2025-10-05,South,Plant-Based Drink,Plant-Based Drink A,1254
2025-10-05,East,Functional Beverage,Functional Beverage D,1044
2025-10-05,East,Fruit Juice,Fruit Juice B,1424
2025-10-05,East,Milkshake,Milkshake B,1375
2025-10-05,North,Carbonated Drink,Carbonated Drink D,1185
2025-10-05,North,Plant-Based Drink,Plant-Based Drink B,1388
2025-10-05,East,Plant-Based Drink,Plant-Based Drink B,1011
2025-10-05,East,Fruit Juice,Fruit Juice B,1291
2025-10-05,South,Milkshake,Milkshake D,2969
2025-10-05,South,Fruit Juice,Fruit Juice B,924
2025-10-05,North,Fruit Juice,Fruit Juice D,1173
2025-10-05,South,Functional Beverage,Functional Beverage A,930
2025-10-05,North,Carbonated Drink,Carbonated Drink D,936
2025-10-05,North,Functional Beverage,Functional Beverage D,1081
2025-10-05,East,Carbonated Drink,Carbonated Drink A,900
2025-10-05,North,Diet Drink,Diet Drink A,900
2025-10-05,East,Carbonated Drink,Carbonated Drink A,1099
2025-10-05,North,Plant-Based Drink,Plant-Based Drink B,1404
2025-10-05,East,Functional Beverage,Functional Beverage C,1045
2025-10-05,South,Plant-Based Drink,Plant-Based Drink B,1036
2025-10-05,East,Diet Drink,Diet Drink B,929
2025-10-05,South,Plant-Based Drink,Plant-Based Drink A,330
2025-10-05,East,Diet Drink,Diet Drink A,905
2025-10-05,South,Fruit Juice,Fruit Juice A,966
