Date,Region,Product Category,Product,Sales
2025-10-30,South,Plant-Based Drink,Plant-Based Drink A,1123
2025-10-30,East,Milkshake,Milkshake D,1397
2025-10-30,East,Functional Beverage,Functional Beverage B,360
2025-10-30,East,Diet Drink,Diet Drink C,1447
2025-10-30,South,Carbonated Drink,Carbonated Drink C,1128
2025-10-30,East,Milkshake,Milkshake C,912
2025-10-30,North,Diet Drink,Diet Drink C,1292
2025-10-30,East,Milkshake,Milkshake A,1100
2025-10-30,South,Milkshake,Milkshake B,926
2025-10-30,South,Carbonated Drink,Carbonated Drink C,1148
2025-10-30,East,Diet Drink,Diet Drink C,1004
2025-10-30,North,Fruit Juice,Fruit Juice B,1295
2025-10-30,South,Functional Beverage,Functional Beverage A,1443
2025-10-30,East,Milkshake,Milkshake A,924
2025-10-30,East,Milkshake,Milkshake B,1221
2025-10-30,North,Plant-Based Drink,Plant-Based Drink B,1482
2025-10-30,South,Milkshake,Milkshake D,1374
2025-10-30,North,Diet Drink,Diet Drink C,1068
2025-10-30,East,Fruit Juice,Fruit Juice D,1073
2025-10-30,South,Milkshake,Milkshake D,1410
2025-10-30,South,Fruit Juice,Fruit Juice A,1062
2025-10-30,South,Carbonated Drink,Carbonated Drink A,1196
2025-10-30,East,Plant-Based Drink,Plant-Based Drink B,911
2025-10-30,South,Milkshake,Milkshake D,1176
2025-10-30,North,Carbonated Drink,Carbonated Drink D,1146
2025-10-30,North,Plant-Based Drink,Plant-Based Drink A,1092
2025-10-30,South,Milkshake,Milkshake D,1426
2025-10-30,North,Fruit Juice,Fruit Juice A,1080
2025-10-30,South,Functional Beverage,Functional Beverage C,1357
2025-10-30,South,Fruit Juice,Fruit Juice C,1148
2025-10-30,South,Diet Drink,Diet Drink B,1340
2025-10-30,East,Plant-Based Drink,Plant-Based Drink D,1308
2025-10-30,South,Milkshake,Milkshake C,1362
2025-10-30,North,Milkshake,Milkshake D,1188
2025-10-30,East,Fruit Juice,Fruit Juice A,1299
2025-10-30,South,Fruit Juice,Fruit Juice A,373
2025-10-30,North,Diet Drink,Diet Drink C,1196
2025-10-30,North,Functional Beverage,Functional Beverage C,1488
2025-10-30,East,Plant-Based Drink,Plant-Based Drink B,1070
2025-10-30,North,Plant-Based Drink,Plant-Based Drink A,900
2025-10-30,North,Functional Beverage,Functional Beverage A,1347
2025-10-30,North,Plant-Based Drink,Plant-Based Drink B,914
2025-10-30,North,Diet Drink,Diet Drink D,1045
2025-10-30,South,Plant-Based Drink,Plant-Based Drink A,996
2025-10-30,South,Plant-Based Drink,Plant-Based Drink A,922
2025-10-30,South,Milkshake,Milkshake C,1082
2025-10-30,South,Fruit Juice,Fruit Juice C,1118
2025-10-30,South,Functional Beverage,Functional Beverage B,1392
2025-10-30,South,Carbonated Drink,Carbonated Drink C,945
2025-10-30,North,Plant-Based Drink,Plant-Based Drink D,1409
